country	continent	year	lifeExp	pop	gdpPercap
Botswana	Africa	2002	48.30	3671063	1380.69
Botswana	Africa	2007	49.35	3766511	1455.25
Burkina Faso	Africa	1952	38.40	3120000	888.00
Burkina Faso	Africa	1957	39.50	3213600	919.97
Burkina Faso	Africa	1962	40.60	3310008	953.09
Burkina Faso	Africa	1967	41.70	3409308	987.40
Burkina Faso	Africa	1972	42.80	3511587	1022.94
Burkina Faso	Africa	1977	43.90	3616935	1059.77
Burkina Faso	Africa	1982	45.00	3725443	1097.92
Burkina Faso	Africa	1987	46.10	3837206	1137.45
Burkina Faso	Africa	1992	47.20	3952322	1178.40
Burkina Faso	Africa	1997	48.30	4070892	1220.82
Burkina Faso	Africa	2002	49.40	4193019	1264.77
Burkina Faso	Africa	2007	50.50	4318809	1310.30
Burundi	Africa	1952	39.00	3400000	960.00
Burundi	Africa	1957	39.90	3515600	1000.32
Burundi	Africa	1962	40.80	3635130	1042.33
Burundi	Africa	1967	41.70	3758724	1086.11
Burundi	Africa	1972	42.60	3886521	1131.73
Burundi	Africa	1977	43.50	4018663	1179.26
Burundi	Africa	1982	44.40	4155297	1228.79
Burundi	Africa	1987	45.30	4296577	1280.40
Burundi	Africa	1992	46.20	4442661	1334.18
Burundi	Africa	1997	47.10	4593712	1390.21
Burundi	Africa	2002	48.00	4749898	1448.60
Burundi	Africa	2007	48.90	4911394	1509.44
Cameroon	Africa	1952	39.60	3680000	1032.00
Cameroon	Africa	1957	40.55	3775680	1081.54
Cameroon	Africa	1962	41.50	3873847	1133.45
Cameroon	Africa	1967	42.45	3974567	1187.86
Cameroon	Africa	1972	43.40	4077906	1244.87
Cameroon	Africa	1977	44.35	4183932	1304.63
Cameroon	Africa	1982	45.30	4292714	1367.25
Cameroon	Africa	1987	46.25	4404324	1432.88
Cameroon	Africa	1992	47.20	4518837	1501.65
Cameroon	Africa	1997	48.15	4636327	1573.73
Cameroon	Africa	2002	49.10	4756871	1649.27
Cameroon	Africa	2007	50.05	4880550	1728.44
Central African Republic	Africa	1952	40.20	3960000	1104.00
Central African Republic	Africa	1957	41.20	4078800	1163.62
Central African Republic	Africa	1962	42.20	4201164	1226.45
Central African Republic	Africa	1967	43.20	4327198	1292.68
Central African Republic	Africa	1972	44.20	4457014	1362.48
Central African Republic	Africa	1977	45.20	4590725	1436.06
Central African Republic	Africa	1982	46.20	4728447	1513.61
Central African Republic	Africa	1987	47.20	4870300	1595.34
Central African Republic	Africa	1992	48.20	5016409	1681.49
Central African Republic	Africa	1997	49.20	5166901	1772.29
Central African Republic	Africa	2002	50.20	5321908	1867.99
Central African Republic	Africa	2007	51.20	5481566	1968.86
Chad	Africa	1952	40.80	4240000	1176.00
Chad	Africa	1957	41.85	4384160	1218.34
Chad	Africa	1962	42.90	4533221	1262.20
Chad	Africa	1967	43.95	4687350	1307.64
Chad	Africa	1972	45.00	4846720	1354.71
Chad	Africa	1977	46.05	5011509	1403.48
Chad	Africa	1982	47.10	5181900	1454.00
Chad	Africa	1987	48.15	5358085	1506.35
Chad	Africa	1992	49.20	5540260	1560.58
Chad	Africa	1997	50.25	5728629	1616.76
Chad	Africa	2002	51.30	5923402	1674.96
Chad	Africa	2007	52.35	6124798	1735.26
Congo	Africa	1952	41.40	4520000	1248.00
Congo	Africa	1957	42.50	4637520	1300.42
Congo	Africa	1962	43.60	4758095	1355.03
Congo	Africa	1967	44.70	4881806	1411.94
Congo	Africa	1972	45.80	5008732	1471.25
Congo	Africa	1977	46.90	5138960	1533.04
Congo	Africa	1982	48.00	5272572	1597.43
Congo	Africa	1987	49.10	5409659	1664.52
Congo	Africa	1992	50.20	5550311	1734.43
Congo	Africa	1997	51.30	5694619	1807.27
Congo	Africa	2002	52.40	5842679	1883.18
Congo	Africa	2007	53.50	5994588	1962.27
Congo Dem Rep	Africa	1952	36.00	2000000	600.00
Congo Dem Rep	Africa	1957	36.90	2060000	628.80
Congo Dem Rep	Africa	1962	37.80	2121800	658.98
Congo Dem Rep	Africa	1967	38.70	2185454	690.61
Congo Dem Rep	Africa	1972	39.60	2251017	723.76
Congo Dem Rep	Africa	1977	40.50	2318548	758.50
Congo Dem Rep	Africa	1982	41.40	2388104	794.91
Congo Dem Rep	Africa	1987	42.30	2459747	833.07
Congo Dem Rep	Africa	1992	43.20	2533540	873.05
Congo Dem Rep	Africa	1997	44.10	2609546	914.96
Congo Dem Rep	Africa	2002	45.00	2687832	958.88
Congo Dem Rep	Africa	2007	45.90	2768467	1004.91
Egypt	Africa	1952	36.60	2280000	672.00
Egypt	Africa	1957	37.55	2357520	708.29
Egypt	Africa	1962	38.50	2437675	746.54
Egypt	Africa	1967	39.45	2520556	786.85
Egypt	Africa	1972	40.40	2606255	829.34
Egypt	Africa	1977	41.35	2694868	874.12
Egypt	Africa	1982	42.30	2786493	921.33
Egypt	Africa	1987	43.25	2881234	971.08
Egypt	Africa	1992	44.20	2979196	1023.51
Egypt	Africa	1997	45.15	3080489	1078.78
Egypt	Africa	2002	46.10	3185225	1137.04
Egypt	Africa	2007	47.05	3293523	1198.44
Ethiopia	Africa	1952	37.20	2560000	744.00
Ethiopia	Africa	1957	38.20	2626560	770.78
Ethiopia	Africa	1962	39.20	2694850	798.53
Ethiopia	Africa	1967	40.20	2764916	827.28
Ethiopia	Africa	1972	41.20	2836804	857.06
Ethiopia	Africa	1977	42.20	2910561	887.92
Ethiopia	Africa	1982	43.20	2986236	919.88
Ethiopia	Africa	1987	44.20	3063878	953.00
Ethiopia	Africa	1992	45.20	3143538	987.30
Ethiopia	Africa	1997	46.20	3225271	1022.85
Ethiopia	Africa	2002	47.20	3309128	1059.67
Ethiopia	Africa	2007	48.20	3395165	1097.82
Gabon	Africa	1952	37.80	2840000	816.00
Gabon	Africa	1957	38.85	2925200	850.27
Gabon	Africa	1962	39.90	3012956	885.98
Gabon	Africa	1967	40.95	3103344	923.19
Gabon	Africa	1972	42.00	3196445	961.97
Gabon	Africa	1977	43.05	3292338	1002.37
Gabon	Africa	1982	44.10	3391108	1044.47
Gabon	Africa	1987	45.15	3492841	1088.34
Gabon	Africa	1992	46.20	3597627	1134.05
Gabon	Africa	1997	47.25	3705555	1181.68
Gabon	Africa	2002	48.30	3816722	1231.31
Gabon	Africa	2007	49.35	3931224	1283.02
Gambia	Africa	1952	38.40	3120000	888.00
Gambia	Africa	1957	39.50	3226080	930.62
Gambia	Africa	1962	40.60	3335766	975.29
Gambia	Africa	1967	41.70	3449182	1022.11
Gambia	Africa	1972	42.80	3566455	1071.17
Gambia	Africa	1977	43.90	3687714	1122.59
Gambia	Africa	1982	45.00	3813096	1176.47
Gambia	Africa	1987	46.10	3942742	1232.94
Gambia	Africa	1992	47.20	4076795	1292.12
Gambia	Africa	1997	48.30	4215406	1354.14
Gambia	Africa	2002	49.40	4358730	1419.14
Gambia	Africa	2007	50.50	4506926	1487.26
Ghana	Africa	1952	39.00	3400000	960.00
Ghana	Africa	1957	39.90	3488400	1011.84
Ghana	Africa	1962	40.80	3579098	1066.48
Ghana	Africa	1967	41.70	3672154	1124.07
Ghana	Africa	1972	42.60	3767630	1184.77
Ghana	Africa	1977	43.50	3865589	1248.75
Ghana	Africa	1982	44.40	3966094	1316.18
Ghana	Africa	1987	45.30	4069213	1387.25
Ghana	Africa	1992	46.20	4175012	1462.16
Ghana	Africa	1997	47.10	4283563	1541.12
Ghana	Africa	2002	48.00	4394935	1624.34
Ghana	Africa	2007	48.90	4509204	1712.06
Guinea	Africa	1952	39.60	3680000	1032.00
Guinea	Africa	1957	40.55	3790400	1069.15
Guinea	Africa	1962	41.50	3904112	1107.64
Guinea	Africa	1967	42.45	4021235	1147.52
Guinea	Africa	1972	43.40	4141872	1188.83
Guinea	Africa	1977	44.35	4266128	1231.62
Guinea	Africa	1982	45.30	4394112	1275.96
Guinea	Africa	1987	46.25	4525935	1321.90
Guinea	Africa	1992	47.20	4661713	1369.49
Guinea	Africa	1997	48.15	4801565	1418.79
Guinea	Africa	2002	49.10	4945612	1469.86
Guinea	Africa	2007	50.05	5093980	1522.78
Kenya	Africa	1952	40.20	3960000	1104.00
Kenya	Africa	1957	41.20	4094640	1150.37
Kenya	Africa	1962	42.20	4233857	1198.68
Kenya	Africa	1967	43.20	4377808	1249.03
Kenya	Africa	1972	44.20	4526654	1301.49
Kenya	Africa	1977	45.20	4680560	1356.15
Kenya	Africa	1982	46.20	4839699	1413.11
Kenya	Africa	1987	47.20	5004249	1472.46
Kenya	Africa	1992	48.20	5174394	1534.30
Kenya	Africa	1997	49.20	5350323	1598.74
Kenya	Africa	2002	50.20	5532234	1665.89
Kenya	Africa	2007	51.20	5720330	1735.86
Liberia	Africa	1952	40.80	4240000	1176.00
Liberia	Africa	1957	41.85	4350240	1232.45
Liberia	Africa	1962	42.90	4463346	1291.61
Liberia	Africa	1967	43.95	4579393	1353.60
Liberia	Africa	1972	45.00	4698457	1418.58
Liberia	Africa	1977	46.05	4820617	1486.67
Liberia	Africa	1982	47.10	4945953	1558.03
Liberia	Africa	1987	48.15	5074548	1632.81
Liberia	Africa	1992	49.20	5206486	1711.19
Liberia	Africa	1997	50.25	5341855	1793.32
Liberia	Africa	2002	51.30	5480743	1879.40
Liberia	Africa	2007	52.35	5623242	1969.62
Madagascar	Africa	1952	41.40	4520000	1248.00
Madagascar	Africa	1957	42.50	4655600	1315.39
Madagascar	Africa	1962	43.60	4795268	1386.42
Madagascar	Africa	1967	44.70	4939126	1461.29
Madagascar	Africa	1972	45.80	5087299	1540.20
Madagascar	Africa	1977	46.90	5239918	1623.37
Madagascar	Africa	1982	48.00	5397116	1711.03
Madagascar	Africa	1987	49.10	5559029	1803.43
Madagascar	Africa	1992	50.20	5725800	1900.81
Madagascar	Africa	1997	51.30	5897574	2003.46
Madagascar	Africa	2002	52.40	6074502	2111.64
Madagascar	Africa	2007	53.50	6256737	2225.67
Malawi	Africa	1952	36.00	2000000	600.00
Malawi	Africa	1957	36.90	2068000	621.60
Malawi	Africa	1962	37.80	2138312	643.98
Malawi	Africa	1967	38.70	2211014	667.16
Malawi	Africa	1972	39.60	2286189	691.18
Malawi	Africa	1977	40.50	2363919	716.06
Malawi	Africa	1982	41.40	2444292	741.84
Malawi	Africa	1987	42.30	2527398	768.55
Malawi	Africa	1992	43.20	2613330	796.21
Malawi	Africa	1997	44.10	2702183	824.88
Malawi	Africa	2002	45.00	2794057	854.57
Malawi	Africa	2007	45.90	2889055	885.34
Mali	Africa	1952	36.60	2280000	672.00
Mali	Africa	1957	37.55	2339280	700.22
Mali	Africa	1962	38.50	2400101	729.63
Mali	Africa	1967	39.45	2462503	760.28
Mali	Africa	1972	40.40	2526529	792.21
Mali	Africa	1977	41.35	2592218	825.48
Mali	Africa	1982	42.30	2659616	860.15
Mali	Africa	1987	43.25	2728766	896.28
Mali	Africa	1992	44.20	2799714	933.92
Mali	Africa	1997	45.15	2872506	973.15
Mali	Africa	2002	46.10	2947192	1014.02
Mali	Africa	2007	47.05	3023819	1056.61
Morocco	Africa	1952	37.20	2560000	744.00
Morocco	Africa	1957	38.20	2636800	779.71
Morocco	Africa	1962	39.20	2715904	817.14
Morocco	Africa	1967	40.20	2797381	856.36
Morocco	Africa	1972	41.20	2881302	897.47
Morocco	Africa	1977	42.20	2967741	940.54
Morocco	Africa	1982	43.20	3056773	985.69
Morocco	Africa	1987	44.20	3148477	1033.00
Morocco	Africa	1992	45.20	3242931	1082.59
Morocco	Africa	1997	46.20	3340219	1134.55
Morocco	Africa	2002	47.20	3440425	1189.01
Morocco	Africa	2007	48.20	3543638	1246.08
Mozambique	Africa	1952	37.80	2840000	816.00
Mozambique	Africa	1957	38.85	2936560	860.06
Mozambique	Africa	1962	39.90	3036403	906.51
Mozambique	Africa	1967	40.95	3139640	955.46
Mozambique	Africa	1972	42.00	3246388	1007.05
Mozambique	Africa	1977	43.05	3356765	1061.43
Mozambique	Africa	1982	44.10	3470895	1118.75
Mozambique	Africa	1987	45.15	3588906	1179.16
Mozambique	Africa	1992	46.20	3710929	1242.84
Mozambique	Africa	1997	47.25	3837100	1309.95
Mozambique	Africa	2002	48.30	3967562	1380.69
Mozambique	Africa	2007	49.35	4102459	1455.25
Nigeria	Africa	1952	38.40	3120000	888.00
Nigeria	Africa	1957	39.50	3201120	919.97
Nigeria	Africa	1962	40.60	3284349	953.09
Nigeria	Africa	1967	41.70	3369742	987.40
Nigeria	Africa	1972	42.80	3457355	1022.94
Nigeria	Africa	1977	43.90	3547246	1059.77
Nigeria	Africa	1982	45.00	3639475	1097.92
Nigeria	Africa	1987	46.10	3734101	1137.45
Nigeria	Africa	1992	47.20	3831188	1178.40
Nigeria	Africa	1997	48.30	3930799	1220.82
Nigeria	Africa	2002	49.40	4032999	1264.77
Nigeria	Africa	2007	50.50	4137857	1310.30
Argentina	Americas	1952	51.00	6800000	3520.00
Argentina	Americas	1957	51.70	6963200	3685.44
Argentina	Americas	1962	52.40	7130316	3858.66
Argentina	Americas	1967	53.10	7301444	4040.01
Argentina	Americas	1972	53.80	7476679	4229.89
Argentina	Americas	1977	54.50	7656119	4428.70
Argentina	Americas	1982	55.20	7839866	4636.85
Argentina	Americas	1987	55.90	8028023	4854.78
Argentina	Americas	1992	56.60	8220695	5082.95
Argentina	Americas	1997	57.30	8417992	5321.85
Argentina	Americas	2002	58.00	8620024	5571.98
Argentina	Americas	2007	58.70	8826904	5833.86
Bolivia	Americas	1952	51.60	7360000	3784.00
Bolivia	Americas	1957	52.35	7566080	3984.55
Bolivia	Americas	1962	53.10	7777930	4195.73
Bolivia	Americas	1967	53.85	7995712	4418.11
Bolivia	Americas	1972	54.60	8219592	4652.27
Bolivia	Americas	1977	55.35	8449740	4898.84
Bolivia	Americas	1982	56.10	8686333	5158.48
Bolivia	Americas	1987	56.85	8929550	5431.87
Bolivia	Americas	1992	57.60	9179578	5719.76
Bolivia	Americas	1997	58.35	9436606	6022.91
Bolivia	Americas	2002	59.10	9700831	6342.13
Bolivia	Americas	2007	59.85	9972454	6678.26
Brazil	Americas	1952	52.20	7920000	4048.00
Brazil	Americas	1957	53.00	8078400	4286.83
Brazil	Americas	1962	53.80	8239968	4539.76
Brazil	Americas	1967	54.60	8404767	4807.60
Brazil	Americas	1972	55.40	8572862	5091.25
Brazil	Americas	1977	56.20	8744319	5391.63
Brazil	Americas	1982	57.00	8919206	5709.74
Brazil	Americas	1987	57.80	9097590	6046.61
Brazil	Americas	1992	58.60	9279542	6403.36
Brazil	Americas	1997	59.40	9465133	6781.16
Brazil	Americas	2002	60.20	9654435	7181.25
Brazil	Americas	2007	61.00	9847524	7604.94
Canada	Americas	1952	59.30	11872000	10348.80
Canada	Americas	1957	60.20	12156928	10804.15
Canada	Americas	1962	61.10	12448694	11279.53
Canada	Americas	1967	62.00	12747462	11775.83
Canada	Americas	1972	62.90	13053402	12293.97
Canada	Americas	1977	63.80	13366683	12834.90
Canada	Americas	1982	64.70	13687484	13399.64
Canada	Americas	1987	65.60	14015983	13989.22
Canada	Americas	1992	66.50	14352367	14604.75
Canada	Americas	1997	67.40	14696824	15247.35
Canada	Americas	2002	68.30	15049547	15918.24
Canada	Americas	2007	69.20	15410737	16618.64
Chile	Americas	1952	53.40	9040000	4576.00
Chile	Americas	1957	54.30	9293120	4791.07
Chile	Americas	1962	55.20	9553327	5016.25
Chile	Americas	1967	56.10	9820820	5252.02
Chile	Americas	1972	57.00	10095803	5498.86
Chile	Americas	1977	57.90	10378485	5757.31
Chile	Americas	1982	58.80	10669083	6027.90
Chile	Americas	1987	59.70	10967817	6311.21
Chile	Americas	1992	60.60	11274916	6607.84
Chile	Americas	1997	61.50	11590614	6918.41
Chile	Americas	2002	62.40	11915151	7243.57
Chile	Americas	2007	63.30	12248775	7584.02
Colombia	Americas	1952	48.00	4000000	2200.00
Colombia	Americas	1957	48.70	4080000	2316.60
Colombia	Americas	1962	49.40	4161600	2439.38
Colombia	Americas	1967	50.10	4244832	2568.67
Colombia	Americas	1972	50.80	4329728	2704.81
Colombia	Americas	1977	51.50	4416323	2848.16
Colombia	Americas	1982	52.20	4504649	2999.11
Colombia	Americas	1987	52.90	4594742	3158.07
Colombia	Americas	1992	53.60	4686637	3325.44
Colombia	Americas	1997	54.30	4780370	3501.69
Colombia	Americas	2002	55.00	4875977	3687.28
Colombia	Americas	2007	55.70	4973497	3882.71
Costa Rica	Americas	1952	48.60	4560000	2464.00
Costa Rica	Americas	1957	49.35	4669440	2609.38
Costa Rica	Americas	1962	50.10	4781506	2763.33
Costa Rica	Americas	1967	50.85	4896262	2926.37
Costa Rica	Americas	1972	51.60	5013773	3099.02
Costa Rica	Americas	1977	52.35	5134103	3281.86
Costa Rica	Americas	1982	53.10	5257322	3475.49
Costa Rica	Americas	1987	53.85	5383497	3680.55
Costa Rica	Americas	1992	54.60	5512701	3897.70
Costa Rica	Americas	1997	55.35	5645006	4127.66
Costa Rica	Americas	2002	56.10	5780486	4371.20
Costa Rica	Americas	2007	56.85	5919218	4629.10
Cuba	Americas	1952	49.20	5120000	2728.00
Cuba	Americas	1957	50.00	5263360	2839.85
Cuba	Americas	1962	50.80	5410734	2956.28
Cuba	Americas	1967	51.60	5562234	3077.49
Cuba	Americas	1972	52.40	5717977	3203.67
Cuba	Americas	1977	53.20	5878080	3335.02
Cuba	Americas	1982	54.00	6042666	3471.75
Cuba	Americas	1987	54.80	6211861	3614.09
Cuba	Americas	1992	55.60	6385793	3762.27
Cuba	Americas	1997	56.40	6564595	3916.53
Cuba	Americas	2002	57.20	6748404	4077.10
Cuba	Americas	2007	58.00	6937359	4244.26
Dominican Republic	Americas	1952	49.80	5680000	2992.00
Dominican Republic	Americas	1957	50.65	5793600	3132.62
Dominican Republic	Americas	1962	51.50	5909472	3279.86
Dominican Republic	Americas	1967	52.35	6027661	3434.01
Dominican Republic	Americas	1972	53.20	6148214	3595.41
Dominican Republic	Americas	1977	54.05	6271178	3764.39
Dominican Republic	Americas	1982	54.90	6396602	3941.32
Dominican Republic	Americas	1987	55.75	6524534	4126.56
Dominican Republic	Americas	1992	56.60	6655025	4320.51
Dominican Republic	Americas	1997	57.45	6788125	4523.57
Dominican Republic	Americas	2002	58.30	6923888	4736.18
Dominican Republic	Americas	2007	59.15	7062366	4958.78
Ecuador	Americas	1952	50.40	6240000	3256.00
Ecuador	Americas	1957	51.30	6389760	3428.57
Ecuador	Americas	1962	52.20	6543114	3610.28
Ecuador	Americas	1967	53.10	6700148	3801.63
Ecuador	Americas	1972	54.00	6860952	4003.11
Ecuador	Americas	1977	54.90	7025615	4215.28
Ecuador	Americas	1982	55.80	7194230	4438.69
Ecuador	Americas	1987	56.70	7366891	4673.94
Ecuador	Americas	1992	57.60	7543697	4921.66
Ecuador	Americas	1997	58.50	7724745	5182.51
Ecuador	Americas	2002	59.40	7910139	5457.18
Ecuador	Americas	2007	60.30	8099983	5746.41
Guatemala	Americas	1952	51.00	6800000	3520.00
Guatemala	Americas	1957	51.70	6990400	3727.68
Guatemala	Americas	1962	52.40	7186131	3947.61
Guatemala	Americas	1967	53.10	7387342	4180.52
Guatemala	Americas	1972	53.80	7594188	4427.17
Guatemala	Americas	1977	54.50	7806825	4688.38
Guatemala	Americas	1982	55.20	8025416	4964.99
Guatemala	Americas	1987	55.90	8250128	5257.92
Guatemala	Americas	1992	56.60	8481132	5568.14
Guatemala	Americas	1997	57.30	8718603	5896.66
Guatemala	Americas	2002	58.00	8962724	6244.57
Guatemala	Americas	2007	58.70	9213681	6613.00
Haiti	Americas	1952	51.60	7360000	3784.00
Haiti	Americas	1957	52.35	7507200	3939.14
Haiti	Americas	1962	53.10	7657344	4100.65
Haiti	Americas	1967	53.85	7810490	4268.78
Haiti	Americas	1972	54.60	7966700	4443.80
Haiti	Americas	1977	55.35	8126034	4625.99
Haiti	Americas	1982	56.10	8288555	4815.66
Haiti	Americas	1987	56.85	8454326	5013.10
Haiti	Americas	1992	57.60	8623413	5218.64
Haiti	Americas	1997	58.35	8795881	5432.60
Haiti	Americas	2002	59.10	8971798	5655.34
Haiti	Americas	2007	59.85	9151234	5887.20
Jamaica	Americas	1952	52.20	7920000	4048.00
Jamaica	Americas	1957	53.00	8110080	4238.26
Jamaica	Americas	1962	53.80	8304721	4437.45
Jamaica	Americas	1967	54.60	8504035	4646.01
Jamaica	Americas	1972	55.40	8708132	4864.38
Jamaica	Americas	1977	56.20	8917127	5093.00
Jamaica	Americas	1982	57.00	9131138	5332.37
Jamaica	Americas	1987	57.80	9350285	5583.00
Jamaica	Americas	1992	58.60	9574692	5845.40
Jamaica	Americas	1997	59.40	9804485	6120.13
Jamaica	Americas	2002	60.20	10039792	6407.78
Jamaica	Americas	2007	61.00	10280747	6708.94
Mexico	Americas	1952	52.80	8480000	4312.00
Mexico	Americas	1957	53.65	8717440	4540.54
Mexico	Americas	1962	54.50	8961528	4781.18
Mexico	Americas	1967	55.35	9212451	5034.59
Mexico	Americas	1972	56.20	9470399	5301.42
Mexico	Americas	1977	57.05	9735570	5582.40
Mexico	Americas	1982	57.90	10008166	5878.26
Mexico	Americas	1987	58.75	10288395	6189.81
Mexico	Americas	1992	59.60	10576470	6517.87
Mexico	Americas	1997	60.45	10872611	6863.32
Mexico	Americas	2002	61.30	11177044	7227.07
Mexico	Americas	2007	62.15	11490002	7610.11
United States	Americas	1952	59.90	12656000	10982.40
United States	Americas	1957	60.85	12909120	11663.31
United States	Americas	1962	61.80	13167302	12386.43
United States	Americas	1967	62.75	13430648	13154.39
United States	Americas	1972	63.70	13699261	13969.97
United States	Americas	1977	64.65	13973246	14836.10
United States	Americas	1982	65.60	14252711	15755.94
United States	Americas	1987	66.55	14537765	16732.81
United States	Americas	1992	67.50	14828521	17770.24
United States	Americas	1997	68.45	15125091	18872.00
United States	Americas	2002	69.40	15427593	20042.06
United States	Americas	2007	70.35	15736145	21284.67
Afghanistan	Asia	1952	42.00	6000000	1300.00
Afghanistan	Asia	1957	42.80	6161999	1359.80
Afghanistan	Asia	1962	43.60	6328373	1422.35
Afghanistan	Asia	1967	44.40	6499240	1487.78
Afghanistan	Asia	1972	45.20	6674719	1556.22
Afghanistan	Asia	1977	46.00	6854937	1627.80
Afghanistan	Asia	1982	46.80	7040020	1702.68
Afghanistan	Asia	1987	47.60	7230100	1781.01
Afghanistan	Asia	1992	48.40	7425313	1862.93
Afghanistan	Asia	1997	49.20	7625797	1948.63
Afghanistan	Asia	2002	50.00	7831693	2038.26
Afghanistan	Asia	2007	50.80	8043149	2132.02
Bangladesh	Asia	1952	42.60	6840000	1456.00
Bangladesh	Asia	1957	43.45	7052040	1531.71
Bangladesh	Asia	1962	44.30	7270653	1611.36
Bangladesh	Asia	1967	45.15	7496043	1695.15
Bangladesh	Asia	1972	46.00	7728420	1783.30
Bangladesh	Asia	1977	46.85	7968001	1876.03
Bangladesh	Asia	1982	47.70	8215009	1973.58
Bangladesh	Asia	1987	48.55	8469675	2076.21
Bangladesh	Asia	1992	49.40	8732235	2184.17
Bangladesh	Asia	1997	50.25	9002934	2297.75
Bangladesh	Asia	2002	51.10	9282025	2417.23
Bangladesh	Asia	2007	51.95	9569768	2542.93
Cambodia	Asia	1952	43.20	7680000	1612.00
Cambodia	Asia	1957	44.10	7856639	1705.50
Cambodia	Asia	1962	45.00	8037342	1804.41
Cambodia	Asia	1967	45.90	8222201	1909.07
Cambodia	Asia	1972	46.80	8411312	2019.80
Cambodia	Asia	1977	47.70	8604772	2136.95
Cambodia	Asia	1982	48.60	8802682	2260.89
Cambodia	Asia	1987	49.50	9005143	2392.02
Cambodia	Asia	1992	50.40	9212262	2530.76
Cambodia	Asia	1997	51.30	9424144	2677.54
Cambodia	Asia	2002	52.20	9640899	2832.84
Cambodia	Asia	2007	53.10	9862640	2997.14
China	Asia	1952	43.80	8520000	1768.00
China	Asia	1957	44.75	8750040	1881.15
China	Asia	1962	45.70	8986291	2001.55
China	Asia	1967	46.65	9228920	2129.64
China	Asia	1972	47.60	9478101	2265.94
China	Asia	1977	48.55	9734010	2410.96
China	Asia	1982	49.50	9996828	2565.26
China	Asia	1987	50.45	10266743	2729.44
China	Asia	1992	51.40	10543945	2904.12
China	Asia	1997	52.35	10828631	3089.99
China	Asia	2002	53.30	11121004	3287.75
China	Asia	2007	54.25	11421271	3498.16
India	Asia	1952	44.40	9360000	1924.00
India	Asia	1957	45.40	9650160	2012.50
India	Asia	1962	46.40	9949314	2105.08
India	Asia	1967	47.40	10257743	2201.91
India	Asia	1972	48.40	10575733	2303.20
India	Asia	1977	49.40	10903581	2409.15
India	Asia	1982	50.40	11241592	2519.97
India	Asia	1987	51.40	11590081	2635.89
India	Asia	1992	52.40	11949374	2757.14
India	Asia	1997	53.40	12319805	2883.97
India	Asia	2002	54.40	12701719	3016.63
India	Asia	2007	55.40	13095472	3155.39
Indonesia	Asia	1952	45.00	10200000	2080.00
Indonesia	Asia	1957	45.80	10434600	2188.16
Indonesia	Asia	1962	46.60	10674595	2301.94
Indonesia	Asia	1967	47.40	10920111	2421.65
Indonesia	Asia	1972	48.20	11171274	2547.57
Indonesia	Asia	1977	49.00	11428213	2680.04
Indonesia	Asia	1982	49.80	11691062	2819.41
Indonesia	Asia	1987	50.60	11959956	2966.02
Indonesia	Asia	1992	51.40	12235035	3120.25
Indonesia	Asia	1997	52.20	12516441	3282.50
Indonesia	Asia	2002	53.00	12804319	3453.19
Indonesia	Asia	2007	53.80	13098819	3632.76
Iran	Asia	1952	45.60	11040000	2236.00
Iran	Asia	1957	46.45	11338079	2365.69
Iran	Asia	1962	47.30	11644208	2502.90
