ID,Sector,WorkFromHome,HoursWorkedPerDay,MeetingsPerDay,CommuteChange,StressLevel,ProductivityChange,HealthIssues,ChildcareResponsibilities,SalaryChange,JobSecurity,TechnologyAdaptation,CollaborationChallenges,ProductivityResilienceIndex,Age,YearsExperience,StressLevel_Numeric,ProductivityChange_Numeric,TechAdaptation_Numeric,CollaborationChallenges_Numeric,JobSecurity_Numeric,WorkFromHome_Numeric,HealthIssues_Numeric,ChildcareResponsibilities_Numeric
53,IT,False,9.8,2,Decreased,Medium,Increased,False,False,Decreased,Secure,Fair,Severe,74.3,48,1,2,1,2,3,2,0,0,0
54,Education,True,9.4,5,Decreased,Medium,No Change,True,True,No Change,Secure,Fair,Minor,55.3,38,18,2,0,2,1,2,1,1,1
55,IT,True,8.3,7,Decreased,Low,No Change,False,False,No Change,Secure,Excellent,Moderate,100.0,37,7,1,0,4,2,2,1,0,0
56,Education,True,7.1,4,Decreased,Medium,No Change,False,True,No Change,Secure,Excellent,Minor,92.9,55,27,2,0,4,1,2,1,0,1
57,IT,True,10.1,7,Decreased,Medium,Increased,True,False,No Change,Secure,Good,Severe,71.1,29,1,2,1,3,3,2,1,1,0
58,Education,True,6.3,5,Decreased,High,Increased,False,True,Decreased,Uncertain,Good,Severe,37.5,40,3,3,1,3,3,1,1,0,1
59,Finance,True,6.4,6,Decreased,Medium,Increased,True,False,No Change,At Risk,Fair,Severe,14.4,43,11,2,1,2,3,0,1,1,0
60,IT,False,10.7,5,No Change,Medium,No Change,False,False,No Change,Secure,Good,Minor,77.6,50,12,2,0,3,1,2,0,0,0
61,Retail,True,10.7,7,Decreased,High,Decreased,False,False,No Change,Secure,Poor,Minor,45.3,48,7,3,-1,1,1,2,1,0,0
62,Retail,True,8.5,7,Decreased,High,Decreased,False,False,Increased,Secure,Poor,Severe,41.4,32,7,3,-1,1,3,2,1,0,0
63,Education,True,7.4,5,No Change,High,No Change,True,False,Decreased,Uncertain,Fair,Severe,31.9,55,8,3,0,2,3,1,1,1,0
64,Retail,True,9.1,3,Decreased,High,No Change,True,False,No Change,Uncertain,Fair,Moderate,22.2,38,9,3,0,2,2,1,1,1,0
65,IT,True,9.6,5,Decreased,High,Increased,False,False,Decreased,Secure,Excellent,Severe,83.9,53,9,3,1,4,3,2,1,0,0
66,IT,True,10.7,8,Decreased,Medium,Increased,True,False,No Change,Uncertain,Excellent,Moderate,55.4,60,16,2,1,4,2,1,1,1,0
67,Education,True,10.7,5,Decreased,Medium,Increased,False,False,No Change,Secure,Good,Severe,87.3,23,3,2,1,3,3,2,1,0,0
68,Education,False,10.6,2,Decreased,Medium,Increased,True,True,Decreased,Secure,Good,Minor,60.4,31,11,2,1,3,1,2,0,1,1
69,IT,True,10.2,3,Decreased,Medium,No Change,False,True,Decreased,Secure,Fair,Moderate,67.7,45,3,2,0,2,2,2,1,0,1
70,Healthcare,False,7.5,5,Increased,High,Increased,False,False,Decreased,At Risk,Fair,Severe,23.0,31,10,3,1,2,3,0,0,0,0
71,Retail,True,10.9,8,Decreased,High,No Change,False,False,No Change,Secure,Good,Moderate,79.9,24,2,3,0,3,2,2,1,0,0
72,Finance,True,9.8,8,Decreased,High,No Change,False,False,Decreased,At Risk,Poor,Minor,18.6,32,12,3,0,1,1,0,1,0,0
73,Retail,True,8.8,7,No Change,Medium,Decreased,True,False,Increased,Secure,Excellent,Moderate,83.1,24,4,2,-1,4,2,2,1,1,0
74,Retail,True,6.5,5,Decreased,High,Decreased,True,True,Decreased,At Risk,Poor,Moderate,0.0,26,6,3,-1,1,2,0,1,1,1
75,Finance,False,10.5,3,Increased,High,Decreased,True,False,No Change,Secure,Fair,None,41.5,62,16,3,-1,2,0,2,0,1,0
76,Retail,True,10.3,8,Decreased,High,Decreased,False,False,Decreased,At Risk,Excellent,Minor,40.4,25,5,3,-1,4,1,0,1,0,0
77,IT,True,7.1,8,No Change,Medium,Decreased,False,False,No Change,Secure,Good,None,75.4,27,7,2,-1,3,0,2,1,0,0
78,Education,True,8.5,4,Decreased,High,No Change,True,False,No Change,Secure,Poor,Moderate,38.1,48,2,3,0,1,2,2,1,1,0
79,IT,False,10.2,4,Decreased,Medium,Increased,False,False,No Change,At Risk,Excellent,None,40.6,46,23,2,1,4,0,0,0,0,0
80,Healthcare,True,9.6,6,Decreased,Medium,Increased,False,False,No Change,Uncertain,Poor,None,53.4,24,4,2,1,1,0,1,1,0,0
81,IT,True,9.8,6,Decreased,Medium,Decreased,True,False,Decreased,Uncertain,Excellent,Moderate,45.2,39,19,2,-1,4,2,1,1,1,0
82,Retail,True,8.9,7,No Change,High,Increased,False,False,Decreased,Secure,Good,None,69.6,49,19,3,1,3,0,2,1,0,0
83,IT,True,9.0,4,Decreased,Medium,Increased,False,False,No Change,At Risk,Excellent,Moderate,56.4,61,10,2,1,4,2,0,1,0,0
84,Finance,True,10.8,3,Decreased,High,Increased,False,True,Increased,Secure,Excellent,Moderate,76.3,47,27,3,1,4,2,2,1,0,1
85,Education,True,9.3,4,Decreased,Low,Decreased,False,True,Increased,Secure,Fair,Severe,88.2,39,5,1,-1,2,3,2,1,0,1
86,Retail,True,9.6,5,Decreased,High,Decreased,True,True,Decreased,Uncertain,Excellent,Moderate,39.9,41,4,3,-1,4,2,1,1,1,1
87,Healthcare,True,7.0,4,Decreased,High,No Change,False,False,Increased,At Risk,Good,Minor,31.8,33,2,3,0,3,1,0,1,0,0
88,Finance,True,7.5,4,Decreased,High,Increased,True,False,Decreased,At Risk,Good,Minor,22.4,35,15,3,1,3,1,0,1,1,0
89,IT,True,10.0,3,Decreased,High,No Change,False,False,Decreased,At Risk,Excellent,Minor,26.5,35,15,3,0,4,1,0,1,0,0
90,Retail,True,8.4,7,Decreased,Medium,No Change,True,True,Decreased,Uncertain,Good,Moderate,51.9,49,14,2,0,3,2,1,1,1,1
91,Healthcare,True,11.0,3,Decreased,High,Increased,True,False,Increased,Secure,Good,None,48.0,45,25,3,1,3,0,2,1,1,0
92,Education,True,10.9,5,Decreased,Medium,Increased,True,True,No Change,Secure,Good,Severe,56.9,29,9,2,1,3,3,2,1,1,1
93,Finance,False,10.0,4,No Change,High,Increased,False,False,No Change,Secure,Excellent,Minor,78.5,40,20,3,1,4,1,2,0,0,0
94,Finance,True,9.0,4,No Change,High,Decreased,False,False,No Change,Uncertain,Good,Severe,48.1,25,5,3,-1,3,3,1,1,0,0
95,Education,False,6.4,4,Decreased,High,No Change,False,True,No Change,Uncertain,Good,None,46.0,54,16,3,0,3,0,1,0,0,1
96,IT,True,9.8,8,Decreased,High,Increased,False,False,Increased,At Risk,Fair,None,13.0,58,14,3,1,2,0,0,1,0,0
97,Healthcare,True,9.6,8,Decreased,High,Increased,True,True,No Change,At Risk,Fair,Severe,0.0,42,12,3,1,2,3,0,1,1,1
98,Education,True,8.8,6,Decreased,Medium,Increased,False,True,No Change,Secure,Excellent,Severe,85.4,28,8,2,1,4,3,2,1,0,1
99,Healthcare,True,10.1,3,No Change,High,Decreased,False,False,No Change,Secure,Good,Severe,72.0,42,21,3,-1,3,3,2,1,0,0
100,Healthcare,True,9.8,4,Decreased,High,Increased,False,True,No Change,Uncertain,Excellent,Moderate,56.2,40,3,3,1,4,2,1,1,0,1
101,Retail,True,8.5,5,Decreased,High,Decreased,True,True,Decreased,Secure,Good,Minor,52.6,46,1,3,-1,3,1,2,1,1,1
102,Education,True,7.1,7,No Change,High,Increased,True,True,No Change,Uncertain,Fair,None,11.7,54,3,3,1,2,0,1,1,1,1
103,Education,True,9.0,6,Decreased,Medium,Increased,True,False,Decreased,Uncertain,Good,Minor,49.1,43,5,2,1,3,1,1,1,1,0
104,Retail,False,9.7,3,No Change,High,Decreased,True,False,No Change,At Risk,Fair,Minor,3.5,37,11,3,-1,2,1,0,0,1,0
105,IT,True,7.1,8,Decreased,Low,No Change,False,False,No Change,Uncertain,Good,Moderate,71.8,60,0,1,0,3,2,1,1,0,0
106,Finance,False,6.6,3,Decreased,Low,Decreased,False,True,Decreased,Uncertain,Excellent,None,88.8,39,19,1,-1,4,0,1,0,0,1
107,Education,True,9.7,6,Decreased,Medium,Increased,False,False,Increased,At Risk,Excellent,Severe,46.1,30,10,2,1,4,3,0,1,0,0
108,Finance,True,8.7,8,Decreased,High,Increased,True,False,Increased,Uncertain,Good,Severe,28.5,24,2,3,1,3,3,1,1,1,0
109,IT,False,8.4,2,Increased,Low,Decreased,False,False,No Change,Secure,Good,Minor,92.1,27,7,1,-1,3,1,2,0,0,0
110,Education,True,8.5,5,Decreased,Medium,Decreased,False,False,No Change,Secure,Good,Minor,76.5,49,29,2,-1,3,1,2,1,0,0
111,Education,True,6.8,6,Decreased,High,Increased,False,False,No Change,Uncertain,Poor,Severe,29.0,56,6,3,1,1,3,1,1,0,0
112,Education,True,6.5,8,Decreased,High,Decreased,False,False,No Change,Uncertain,Fair,Moderate,36.5,47,17,3,-1,2,2,1,1,0,0
113,Finance,False,6.1,5,No Change,Medium,No Change,False,True,Decreased,Secure,Excellent,None,88.0,56,8,2,0,4,0,2,0,0,1
114,Finance,True,10.4,7,Decreased,Medium,Decreased,False,False,Decreased,Secure,Excellent,Minor,95.6,49,10,2,-1,4,1,2,1,0,0
115,Retail,True,8.7,3,Decreased,Medium,Decreased,False,False,No Change,Secure,Poor,Moderate,56.4,45,2,2,-1,1,2,2,1,0,0
116,IT,False,7.3,3,Increased,High,Increased,False,False,No Change,Secure,Fair,None,58.5,53,15,3,1,2,0,2,0,0,0
117,Healthcare,False,7.5,2,Decreased,Medium,Decreased,False,False,No Change,Secure,Poor,Severe,71.0,33,13,2,-1,1,3,2,0,0,0
118,Retail,True,10.2,6,Decreased,Medium,Decreased,False,True,No Change,Uncertain,Fair,Minor,45.5,41,20,2,-1,2,1,1,1,0,1
119,Healthcare,True,6.7,5,No Change,High,Decreased,False,False,No Change,Secure,Excellent,Moderate,76.2,44,11,3,-1,4,2,2,1,0,0
120,Education,True,7.5,6,Decreased,Low,Decreased,False,False,Decreased,Uncertain,Excellent,Moderate,85.8,54,23,1,-1,4,2,1,1,0,0
121,Education,True,10.1,6,Decreased,High,Increased,False,True,Decreased,Uncertain,Excellent,None,48.0,55,10,3,1,4,0,1,1,0,1
122,IT,True,6.8,5,Decreased,Medium,No Change,False,False,Increased,Uncertain,Excellent,Moderate,75.2,41,10,2,0,4,2,1,1,0,0
123,Education,False,9.5,3,Increased,Medium,No Change,False,False,No Change,Uncertain,Good,None,67.4,25,5,2,0,3,0,1,0,0,0
124,IT,True,10.6,7,Decreased,High,Decreased,False,False,No Change,Uncertain,Fair,Minor,46.5,40,20,3,-1,2,1,1,1,0,0
125,Finance,True,7.6,6,Decreased,Medium,No Change,False,False,Decreased,Secure,Good,Moderate,95.0,54,16,2,0,3,2,2,1,0,0
126,Healthcare,True,10.1,8,No Change,High,No Change,True,False,Increased,Secure,Good,Moderate,56.7,27,7,3,0,3,2,2,1,1,0
127,Education,True,7.5,8,Decreased,Low,No Change,False,False,Increased,Uncertain,Good,None,88.1,56,0,1,0,3,0,1,1,0,0
128,IT,True,8.7,6,Decreased,Low,Increased,False,True,Decreased,Secure,Excellent,Minor,100.0,31,11,1,1,4,1,2,1,0,1
129,Retail,False,8.5,5,Increased,Medium,Decreased,True,False,No Change,Secure,Excellent,None,78.3,41,21,2,-1,4,0,2,0,1,0
130,Finance,True,8.8,3,Decreased,Medium,Increased,False,True,No Change,Secure,Excellent,Severe,78.7,54,17,2,1,4,3,2,1,0,1
131,Finance,True,10.6,3,No Change,High,Decreased,False,True,No Change,Uncertain,Poor,Moderate,24.7,42,4,3,-1,1,2,1,1,0,1
132,Retail,True,8.3,5,Decreased,High,Decreased,False,False,No Change,Secure,Excellent,Minor,70.2,41,21,3,-1,4,1,2,1,0,0
133,Healthcare,True,8.6,7,Decreased,High,Decreased,False,False,No Change,Secure,Good,None,66.9,54,9,3,-1,3,0,2,1,0,0
134,Healthcare,True,9.4,5,No Change,High,No Change,True,False,Decreased,Uncertain,Good,Moderate,41.0,36,15,3,0,3,2,1,1,1,0
135,Retail,True,6.4,5,Decreased,Medium,Increased,False,False,Decreased,Secure,Good,Severe,81.3,51,5,2,1,3,3,2,1,0,0
136,Education,False,7.0,5,Decreased,High,No Change,False,True,Increased,At Risk,Good,None,28.7,24,0,3,0,3,0,0,0,0,1
137,Healthcare,True,7.8,7,Decreased,High,Decreased,False,True,No Change,At Risk,Excellent,Moderate,26.3,45,1,3,-1,4,2,0,1,0,1
138,Education,False,8.7,5,Decreased,High,Decreased,True,True,No Change,Uncertain,Good,Minor,27.0,26,6,3,-1,3,1,1,0,1,1
139,Education,False,8.1,2,No Change,Medium,Decreased,True,True,Increased,Secure,Excellent,None,72.9,25,5,2,-1,4,0,2,0,1,1
140,IT,True,8.2,3,No Change,Medium,Increased,False,False,No Change,Uncertain,Excellent,Severe,73.4,44,24,2,1,4,3,1,1,0,0
141,Education,True,8.7,7,No Change,Medium,No Change,True,False,Decreased,Uncertain,Excellent,Minor,62.2,40,13,2,0,4,1,1,1,1,0
142,Education,False,6.3,2,Decreased,High,Increased,False,True,Increased,Secure,Good,Minor,56.9,51,8,3,1,3,1,2,0,0,1
143,IT,True,9.8,5,Decreased,Medium,Increased,True,False,Increased,Secure,Excellent,Severe,77.5,37,17,2,1,4,3,2,1,1,0
144,IT,True,8.8,8,Decreased,High,No Change,False,False,Decreased,Secure,Fair,Moderate,66.6,45,0,3,0,2,2,2,1,0,0
145,Finance,True,10.7,8,No Change,High,Increased,False,False,No Change,Uncertain,Good,Minor,50.2,49,3,3,1,3,1,1,1,0,0
146,Healthcare,True,10.9,4,Decreased,High,Increased,False,False,Decreased,Secure,Good,Severe,64.8,22,2,3,1,3,3,2,1,0,0
147,Finance,True,9.4,7,Decreased,Medium,Increased,False,True,Increased,At Risk,Fair,Moderate,28.8,62,8,2,1,2,2,0,1,0,1
148,Finance,True,6.9,5,Decreased,Medium,Increased,False,False,Decreased,Secure,Fair,Moderate,73.2,29,9,2,1,2,2,2,1,0,0
149,Finance,True,7.4,4,Decreased,High,Increased,False,True,Decreased,Secure,Good,Moderate,57.3,51,0,3,1,3,2,2,1,0,1
150,Healthcare,True,9.3,6,Decreased,High,Decreased,False,False,No Change,Uncertain,Excellent,Moderate,55.0,30,10,3,-1,4,2,1,1,0,0
151,Healthcare,True,10.2,7,Decreased,Medium,Decreased,True,False,Decreased,Secure,Good,None,62.5,52,24,2,-1,3,0,2,1,1,0
152,IT,True,10.6,6,Decreased,High,No Change,False,False,No Change,Uncertain,Fair,Severe,38.6,61,10,3,0,2,3,1,1,0,0
153,Retail,True,9.2,4,Decreased,Medium,Decreased,False,True,Decreased,Secure,Good,Moderate,76.8,52,26,2,-1,3,2,2,1,0,1
154,Education,True,6.8,4,Decreased,High,No Change,True,True,Increased,Secure,Excellent,Moderate,47.7,47,26,3,0,4,2,2,1,1,1
155,Education,True,8.1,5,Decreased,Low,No Change,False,False,No Change,Uncertain,Good,Severe,80.9,50,12,1,0,3,3,1,1,0,0
156,Education,False,9.2,5,No Change,High,Increased,False,True,Decreased,At Risk,Fair,Moderate,19.2,42,13,3,1,2,2,0,0,0,1
157,Healthcare,True,6.9,3,Decreased,High,Decreased,False,False,No Change,At Risk,Excellent,Moderate,36.4,40,4,3,-1,4,2,0,1,0,0
158,Finance,True,6.6,8,No Change,Low,Increased,False,False,Increased,Secure,Excellent,None,100.0,41,8,1,1,4,0,2,1,0,0
159,Retail,False,9.4,5,No Change,Medium,No Change,False,False,No Change,Uncertain,Good,Minor,73.4,38,18,2,0,3,1,1,0,0,0
160,Finance,False,10.5,4,No Change,High,Increased,False,True,Decreased,Uncertain,Fair,None,31.2,24,4,3,1,2,0,1,0,0,1
161,Finance,True,10.8,4,Decreased,Medium,Increased,False,True,Decreased,Secure,Excellent,Minor,79.2,51,14,2,1,4,1,2,1,0,1
162,Education,False,6.3,4,Decreased,Low,Decreased,False,True,Decreased,At Risk,Excellent,Moderate,67.7,56,1,1,-1,4,2,0,0,0,1
163,IT,True,10.1,8,Decreased,Medium,No Change,False,False,Decreased,Secure,Fair,Moderate,67.3,55,9,2,0,2,2,2,1,0,0
164,Healthcare,True,8.2,7,No Change,High,Decreased,False,True,Decreased,Secure,Poor,Moderate,51.8,38,8,3,-1,1,2,2,1,0,1
165,Finance,True,9.2,3,Decreased,Medium,Increased,False,False,No Change,Secure,Good,Minor,89.3,45,14,2,1,3,1,2,1,0,0
166,Healthcare,True,7.5,8,Decreased,High,No Change,False,False,Decreased,Secure,Excellent,Moderate,76.9,38,18,3,0,4,2,2,1,0,0
167,Retail,True,10.8,7,Decreased,High,No Change,False,False,No Change,At Risk,Excellent,Moderate,32.5,33,13,3,0,4,2,0,1,0,0
168,Finance,True,9.7,6,Decreased,High,Increased,True,False,No Change,At Risk,Excellent,Severe,24.1,51,8,3,1,4,3,0,1,1,0
169,Finance,True,11.0,3,Decreased,Medium,Increased,False,False,Decreased,Secure,Fair,None,80.4,39,4,2,1,2,0,2,1,0,0
170,Finance,True,7.3,8,Decreased,Medium,Increased,False,False,Decreased,Secure,Good,Moderate,81.3,42,22,2,1,3,2,2,1,0,0
171,IT,False,9.1,2,No Change,High,Increased,True,False,Decreased,At Risk,Fair,Minor,14.0,56,24,3,1,2,1,0,0,1,0
172,Education,True,9.8,7,Decreased,Medium,Increased,False,True,No Change,At Risk,Good,Severe,32.5,51,8,2,1,3,3,0,1,0,1
173,Retail,True,9.0,3,Decreased,High,Decreased,False,True,Decreased,Uncertain,Excellent,Severe,40.5,32,7,3,-1,4,3,1,1,0,1
174,IT,True,8.6,5,Decreased,Medium,Decreased,True,False,No Change,Secure,Excellent,Severe,83.9,26,6,2,-1,4,3,2,1,1,0
175,Healthcare,True,7.8,3,Decreased,Medium,No Change,False,False,No Change,Secure,Excellent,Moderate,98.1,52,27,2,0,4,2,2,1,0,0
176,Education,True,10.8,8,Decreased,Medium,Increased,True,True,Decreased,Uncertain,Good,None,54.2,48,1,2,1,3,0,1,1,1,1
177,Finance,False,6.8,3,No Change,High,No Change,False,True,Decreased,Uncertain,Fair,None,41.9,32,12,3,0,2,0,1,0,0,1
178,Retail,False,10.9,5,No Change,High,Decreased,False,False,Decreased,Uncertain,Excellent,None,49.3,39,19,3,-1,4,0,1,0,0,0
179,Healthcare,False,7.3,2,Increased,High,Decreased,False,True,No Change,Uncertain,Fair,Minor,38.3,41,21,3,-1,2,1,1,0,0,1
180,Retail,True,8.0,4,Decreased,High,Decreased,False,True,Increased,Secure,Good,Severe,60.1,48,24,3,-1,3,3,2,1,0,1
181,Finance,True,8.4,3,No Change,Low,Increased,False,False,No Change,Uncertain,Poor,None,51.2,60,26,1,1,1,0,1,1,0,0
182,Retail,True,7.5,6,Decreased,High,Decreased,False,False,Increased,Secure,Excellent,Severe,69.6,22,2,3,-1,4,3,2,1,0,0
183,Retail,True,9.3,5,Decreased,High,Decreased,False,True,No Change,At Risk,Excellent,Moderate,35.3,44,9,3,-1,4,2,0,1,0,1
184,Healthcare,True,9.8,3,Decreased,High,No Change,False,False,Decreased,At Risk,Good,None,36.5,57,1,3,0,3,0,0,1,0,0
185,Finance,True,8.5,3,Decreased,Medium,Decreased,False,False,No Change,Uncertain,Good,None,62.2,31,7,2,-1,3,0,1,1,0,0
186,Finance,True,8.0,6,Decreased,High,Decreased,False,False,No Change,Secure,Fair,Moderate,66.3,35,15,3,-1,2,2,2,1,0,0
187,Education,False,8.7,3,No Change,Medium,No Change,True,False,No Change,Secure,Excellent,Minor,84.0,31,11,2,0,4,1,2,0,1,0
188,IT,True,6.7,5,Decreased,High,Decreased,False,False,Increased,Uncertain,Good,Moderate,49.2,22,2,3,-1,3,2,1,1,0,0
189,Retail,True,7.5,5,Decreased,Medium,Decreased,False,True,Decreased,At Risk,Good,Moderate,41.0,38,2,2,-1,3,2,0,1,0,1
